Date,Open,High,Low,Close
09/20/2024,"3,676.84","3,676.84","3,676.84","3,676.84"
09/19/2024,"3,689.52","3,689.52","3,689.52","3,689.52"
09/18/2024,"3,629.69","3,629.69","3,629.69","3,629.69"
09/17/2024,"3,640.50","3,640.50","3,640.50","3,640.50"
09/16/2024,"3,640.73","3,640.73","3,640.73","3,640.73"
09/13/2024,"3,634.86","3,634.86","3,634.86","3,634.86"
09/12/2024,"3,611.30","3,611.30","3,611.30","3,611.30"
09/11/2024,"3,578.65","3,578.65","3,578.65","3,578.65"
09/10/2024,"3,552.03","3,552.03","3,552.03","3,552.03"
09/09/2024,"3,546.40","3,546.40","3,546.40","3,546.40"
09/06/2024,"3,518.58","3,518.58","3,518.58","3,518.58"
09/05/2024,"3,567.49","3,567.49","3,567.49","3,567.49"
09/04/2024,"3,580.06","3,580.06","3,580.06","3,580.06"
09/03/2024,"3,595.44","3,595.44","3,595.44","3,595.44"
09/02/2024,"3,659.44","3,659.44","3,659.44","3,659.44"
08/30/2024,"3,661.24","3,661.24","3,661.24","3,661.24"
08/29/2024,"3,632.15","3,632.15","3,632.15","3,632.15"
08/28/2024,"3,631.20","3,631.20","3,631.20","3,631.20"
08/27/2024,"3,647.30","3,647.30","3,647.30","3,647.30"
08/26/2024,"3,641.81","3,641.81","3,641.81","3,641.81"
08/23/2024,"3,649.56","3,649.56","3,649.56","3,649.56"
08/22/2024,"3,607.63","3,607.63","3,607.63","3,607.63"
08/21/2024,"3,630.66","3,630.66","3,630.66","3,630.66"
08/20/2024,"3,615.77","3,615.77","3,615.77","3,615.77"
08/19/2024,"3,618.41","3,618.41","3,618.41","3,618.41"
08/16/2024,"3,584.19","3,584.19","3,584.19","3,584.19"
08/15/2024,"3,568.10","3,015.90","3,568.10","3,568.10"
08/14/2024,"3,522.42","3,522.42","3,522.42","3,522.42"
08/13/2024,"3,501.91","3,015.90","3,501.91","3,501.91"
08/12/2024,"3,446.33","3,446.33","3,446.33","3,446.33"
08/09/2024,"3,447.75","3,447.75","3,447.75","3,447.75"
08/08/2024,"3,427.78","3,427.78","3,427.78","3,427.78"
08/07/2024,"3,372.32","3,372.32","3,372.32","3,372.32"
08/06/2024,"3,380.91","3,380.91","3,380.91","3,380.91"
08/05/2024,"3,342.73","3,342.73","3,342.73","3,342.73"
08/02/2024,"3,448.80","3,448.80","3,448.80","3,448.80"
08/01/2024,"3,518.01","3,015.90","3,518.01","3,518.01"
07/31/2024,"3,571.57","3,571.57","3,571.57","3,571.57"
07/30/2024,"3,514.37","3,015.90","3,514.37","3,514.37"
07/29/2024,"3,526.51","3,526.51","3,526.51","3,526.51"
07/26/2024,"3,524.08","3,524.08","3,524.08","3,524.08"
07/25/2024,"3,490.82","3,490.82","3,490.82","3,490.82"
07/24/2024,"3,515.97","3,515.97","3,515.97","3,515.97"
07/23/2024,"3,580.87","3,580.87","3,580.87","3,580.87"
07/22/2024,"3,584.66","3,584.66","3,584.66","3,584.66"
07/19/2024,"3,553.76","3,553.76","3,553.76","3,553.76"
07/18/2024,"3,579.84","3,579.84","3,579.84","3,579.84"
07/17/2024,"3,607.74","3,607.74","3,607.74","3,607.74"
07/16/2024,"3,642.95","3,642.95","3,642.95","3,642.95"
07/15/2024,"3,629.58","3,015.90","3,629.58","3,629.58"
07/12/2024,"3,627.52","3,627.52","3,627.52","3,627.52"
